time_ms	encoder	transmitted_g	preload_g	percent_cycle
85352	291922	150.99	185.23	77.85
85355	291969	150.44	184.86	77.86
85358	292017	148.37	182.81	77.87
85361	292066	150.48	182.31	77.88
85364	292114	153.19	185.94	77.90
85368	292163	152.62	188.61	77.91
85371	292212	150.72	187.74	77.92
85374	292260	149.00	186.13	77.94
85377	292308	154.18	187.32	77.95
85380	292355	154.38	185.77	77.96
85383	292400	151.24	186.23	77.97
85386	292446	148.24	188.37	77.99
85389	292493	148.56	189.93	78.00
85392	292539	149.90	189.46	78.01
85396	292585	150.88	188.38	78.02
85399	292632	150.69	186.59	78.04
85402	292677	150.65	182.72	78.05
85405	292722	147.93	183.93	78.06
85408	292768	145.72	187.98	78.07
85411	292812	144.44	189.24	78.08
85415	292863	145.15	189.71	78.10
85418	292908	146.10	189.77	78.11
85421	292951	148.16	191.56	78.12
85424	292994	149.07	192.30	78.13
85427	293039	149.35	192.04	78.14
85430	293084	147.92	193.43	78.16
85434	293128	150.68	192.93	78.17
85437	293174	149.96	191.88	78.18
85440	293218	148.45	192.38	78.19
85443	293262	147.76	190.34	78.20
85446	293306	147.13	190.04	78.21
85449	293351	144.46	191.92	78.23
85452	293394	141.96	190.80	78.24
85455	293439	144.61	186.08	78.25
85459	293483	145.13	184.98	78.26
85462	293527	146.04	190.61	78.27
85465	293570	146.36	192.95	78.29
85468	293615	144.48	191.45	78.30
85471	293660	142.06	194.24	78.31
85474	293705	143.38	195.18	78.32
85477	293751	145.28	191.24	78.33
85480	293796	146.62	190.30	78.35
85483	293840	143.45	190.67	78.36
85487	293885	142.74	191.12	78.37
85490	293930	139.95	189.69	78.38
85493	293975	140.60	192.87	78.39
85496	294022	143.74	194.35	78.41
85500	294076	141.87	193.01	78.42
85503	294123	140.22	193.04	78.43
85506	294172	142.13	191.85	78.45
85509	294221	144.12	192.53	78.46
85512	294268	147.20	190.83	78.47
85515	294316	141.61	190.51	78.48
85518	294363	139.06	192.76	78.50
85521	294409	139.95	193.73	78.51
85525	294456	141.30	194.54	78.52
85528	294503	140.71	193.42	78.53
85531	294549	140.93	192.74	78.55
85534	294596	138.35	196.00	78.56
85537	294643	135.58	196.65	78.57
85540	294687	136.85	196.26	78.58
85543	294733	137.94	196.49	78.60
85546	294778	136.54	194.69	78.61
85549	294822	136.10	193.23	78.62
85553	294866	134.94	193.62	78.63
85556	294911	136.22	193.28	78.64
85559	294953	139.07	194.20	78.65
85562	294995	138.09	195.12	78.67
85565	295039	134.07	195.40	78.68
85568	295084	132.19	197.72	78.69
85571	295127	133.64	195.60	78.70
85574	295173	132.90	195.61	78.71
85578	295218	132.25	196.19	78.72
85581	295262	135.25	195.09	78.74
85584	295313	133.22	195.90	78.75
85587	295358	131.51	195.07	78.76
85591	295402	132.56	197.77	78.77
85594	295447	137.28	197.07	78.79
85597	295492	137.46	196.59	78.80
85600	295535	132.75	197.94	78.81
85603	295580	129.67	194.46	78.82
85606	295626	129.83	194.94	78.83
85609	295672	130.34	194.51	78.85
85612	295718	130.33	193.12	78.86
85616	295764	129.26	192.40	78.87
85619	295809	128.25	195.89	78.88
85622	295853	129.96	197.55	78.89
85625	295898	127.52	197.98	78.91
85628	295943	129.01	197.48	78.92
85631	295986	130.80	195.74	78.93
85634	296031	128.51	193.11	78.94
85637	296077	127.71	194.45	78.95
85640	296121	127.22	194.69	78.97
85644	296167	131.01	191.96	78.98
85647	296213	128.05	195.46	78.99
85650	296258	126.20	196.01	79.00
85653	296303	128.68	195.59	79.01
85656	296349	127.40	196.91	79.03
85659	296392	127.70	195.39	79.04
85662	296436	126.40	195.76	79.05
85665	296482	126.06	194.53	79.06
85669	296532	125.31	195.29	79.08
85672	296577	123.59	196.04	79.09
85675	296622	123.25	198.05	79.10
85678	296666	128.01	197.35	79.11
85682	296710	126.65	198.27	79.12
85685	296754	123.24	197.30	79.13
85688	296798	123.96	196.12	79.15
85691	296841	124.40	196.79	79.16
85694	296886	126.22	193.96	79.17
85697	296929	127.12	192.95	79.18
85700	296970	124.91	194.61	79.19
85703	297012	121.50	195.53	79.20
85706	297057	119.14	196.61	79.22
85710	297100	123.41	197.52	79.23
85713	297144	123.75	197.49	79.24
85716	297188	122.10	197.01	79.25
85719	297231	117.38	195.47	79.26
85722	297274	111.53	194.13	79.27
85725	297317	114.93	194.21	79.28
85728	297360	119.13	197.44	79.30
85731	297402	120.18	194.25	79.31
85735	297445	115.71	195.19	79.32
85738	297489	112.21	194.83	79.33
85741	297532	113.74	193.89	79.34
85744	297575	116.96	195.41	79.35
85747	297621	118.76	194.82	79.37
85750	297666	117.32	191.46	79.38
85753	297717	-0.01	191.51	79.39
85757	297761	115.75	194.67	79.40
85760	297806	117.90	196.42	79.41
85763	297851	115.94	197.12	79.43
85766	297897	114.41	195.24	79.44
85769	297943	113.32	195.25	79.45
85772	297989	111.79	195.66	79.46
85776	298036	115.75	197.45	79.48
85779	298083	116.92	196.82	79.49
85782	298130	114.83	197.32	79.50
85785	298179	111.98	199.94	79.51
85788	298227	109.11	198.02	79.53
85791	298275	109.03	199.03	79.54
85794	298323	111.80	199.40	79.55
85797	298371	112.98	195.71	79.57
85801	298417	112.80	194.94	79.58
85804	298465	112.58	196.39	79.59
85807	298514	109.31	195.41	79.60
85810	298561	109.66	197.26	79.62
85813	298609	113.30	195.58	79.63
85816	298657	112.94	195.55	79.64
85819	298704	111.70	194.94	79.65
85823	298757	108.70	199.37	79.67
85826	298804	107.95	199.36	79.68
85829	298850	111.23	194.35	79.69
85832	298897	114.59	194.58	79.71
