time_ms	encoder	transmitted_g	preload_g	percent_cycle
65544	0	-67.85	-1.03	0.00
65644	0	-67.53	-0.69	0.00
65745	0	-67.95	-0.56	0.00
65845	0	-67.84	-0.66	0.00
65945	0	-68.10	-0.65	0.00
66045	0	-68.36	-1.16	0.00
66145	0	-68.49	-1.12	0.00
66246	0	-68.34	-0.95	0.00
66346	0	-67.89	-0.56	0.00
66446	0	-67.69	-0.78	0.00
66547	0	-67.95	-1.06	0.00
66647	0	-67.55	-0.76	0.00
66747	0	-67.50	-0.26	0.00
66848	159	-67.51	-0.96	0.04
66947	1024	-67.46	-0.74	0.27
67048	1984	-68.44	-0.05	0.53
67148	2946	-67.68	0.12	0.79
67249	3939	-67.20	0.60	1.05
67349	4885	-67.93	1.23	1.30
67449	5872	-68.48	1.98	1.57
67549	6805	-68.70	3.16	1.81
67650	7744	-68.11	4.15	2.07
67750	8626	-67.35	5.27	2.30
67850	9562	-67.38	5.62	2.55
67950	10478	-67.41	6.38	2.79
68051	11370	-67.26	7.79	3.03
68151	12270	-66.86	8.84	3.27
68252	13204	-66.80	9.41	3.52
68352	14171	-67.04	10.04	3.78
68452	15077	-68.03	11.23	4.02
68552	16022	-67.68	12.28	4.27
68652	16949	-67.94	13.74	4.52
68753	17933	-68.24	14.35	4.78
68853	18805	-68.94	14.27	5.01
68953	19674	-69.99	14.84	5.25
69053	20566	-70.91	15.42	5.48
69154	21470	-71.03	16.35	5.73
69254	22328	-71.04	16.78	5.95
69355	23198	-72.31	17.44	6.19
69455	24135	-73.53	17.82	6.44
69555	25057	-73.70	17.75	6.68
69655	25991	-74.86	17.95	6.93
69756	26852	-76.50	18.41	7.16
69855	27802	-77.91	19.36	7.41
69956	28737	-78.58	19.94	7.66
70056	29672	-79.77	19.55	7.91
70157	30554	-80.88	20.10	8.15
70257	31438	-81.52	20.58	8.38
70357	32304	-82.58	20.74	8.61
70457	33185	-83.84	20.95	8.85
70558	34075	-83.93	20.96	9.09
